query_id	chunk_id	relevance
q-001	chunk-000-00	1
q-001	chunk-000-04	1
q-001	chunk-000-08	1
q-001	chunk-000-12	1
q-001	chunk-000-16	1
q-001	chunk-000-20	1
q-001	chunk-000-24	1
q-001	chunk-000-28	1
q-001	chunk-000-32	1
q-001	chunk-000-36	1
q-001	chunk-000-40	1
q-001	chunk-000-44	1
q-001	chunk-000-48	1
q-002	chunk-001-00	1
q-002	chunk-001-01	1
q-002	chunk-001-02	1
q-002	chunk-001-03	1
q-002	chunk-001-04	1
q-002	chunk-001-05	1
q-002	chunk-001-06	1
q-002	chunk-001-07	1
q-002	chunk-001-08	1
q-002	chunk-001-09	1
q-002	chunk-001-10	1
q-002	chunk-001-11	1
q-002	chunk-001-12	1
q-002	chunk-001-13	1
q-002	chunk-001-14	1
q-002	chunk-001-15	1
q-002	chunk-001-16	1
q-002	chunk-001-17	1
q-002	chunk-001-18	1
q-002	chunk-001-19	1
q-003	chunk-002-00	1
q-003	chunk-002-01	1
q-003	chunk-002-02	1
q-003	chunk-002-03	1
q-003	chunk-002-04	1
q-003	chunk-002-05	1
q-003	chunk-002-06	1
q-003	chunk-002-07	1
q-003	chunk-002-08	1
q-003	chunk-002-09	1
q-003	chunk-002-10	1
q-003	chunk-002-11	1
q-003	chunk-002-12	1
q-003	chunk-002-13	1
q-003	chunk-002-14	1
q-003	chunk-002-15	1
q-003	chunk-002-16	1
q-003	chunk-002-17	1
q-003	chunk-002-18	1
q-003	chunk-002-19	1
q-004	chunk-003-00	1
q-004	chunk-003-01	1
q-004	chunk-003-02	1
q-004	chunk-003-03	1
q-004	chunk-003-04	1
q-004	chunk-003-05	1
q-004	chunk-003-06	1
q-004	chunk-003-07	1
q-004	chunk-003-08	1
q-004	chunk-003-09	1
q-004	chunk-003-10	1
q-004	chunk-003-11	1
q-004	chunk-003-12	1
q-004	chunk-003-13	1
q-004	chunk-003-14	1
q-004	chunk-003-15	1
q-004	chunk-003-16	1
q-004	chunk-003-17	1
q-004	chunk-003-18	1
q-004	chunk-003-19	1
q-005	chunk-004-00	1
q-005	chunk-004-01	1
q-005	chunk-004-02	1
q-005	chunk-004-03	1
q-005	chunk-004-04	1
q-005	chunk-004-05	1
q-005	chunk-004-06	1
q-005	chunk-004-07	1
q-005	chunk-004-08	1
q-005	chunk-004-09	1
q-005	chunk-004-10	1
q-005	chunk-004-11	1
q-005	chunk-004-12	1
q-005	chunk-004-13	1
q-005	chunk-004-14	1
q-005	chunk-004-15	1
q-005	chunk-004-16	1
q-005	chunk-004-17	1
q-005	chunk-004-18	1
q-005	chunk-004-19	1
q-006	chunk-005-00	1
q-006	chunk-005-01	1
q-006	chunk-005-02	1
q-006	chunk-005-03	1
q-006	chunk-005-04	1
q-006	chunk-005-05	1
q-006	chunk-005-06	1
q-006	chunk-005-07	1
q-006	chunk-005-08	1
q-006	chunk-005-09	1
q-006	chunk-005-10	1
q-006	chunk-005-11	1
q-006	chunk-005-12	1
q-006	chunk-005-13	1
q-006	chunk-005-14	1
q-006	chunk-005-15	1
q-006	chunk-005-16	1
q-006	chunk-005-17	1
q-006	chunk-005-18	1
q-006	chunk-005-19	1
q-007	chunk-006-00	1
q-007	chunk-006-01	1
q-007	chunk-006-02	1
q-007	chunk-006-03	1
q-007	chunk-006-04	1
q-007	chunk-006-05	1
q-007	chunk-006-06	1
q-007	chunk-006-07	1
q-007	chunk-006-08	1
q-007	chunk-006-09	1
q-007	chunk-006-10	1
q-007	chunk-006-11	1
q-007	chunk-006-12	1
q-007	chunk-006-13	1
q-007	chunk-006-14	1
q-007	chunk-006-15	1
q-007	chunk-006-16	1
q-007	chunk-006-17	1
q-007	chunk-006-18	1
q-007	chunk-006-19	1
q-009	chunk-008-00	1
q-009	chunk-008-04	1
q-009	chunk-008-08	1
q-009	chunk-008-12	1
q-009	chunk-008-16	1
q-009	chunk-008-20	1
q-009	chunk-008-24	1
q-009	chunk-008-28	1
q-009	chunk-008-32	1
q-009	chunk-008-36	1
q-009	chunk-008-40	1
q-009	chunk-008-44	1
q-009	chunk-008-48	1
q-010	chunk-009-00	1
q-010	chunk-009-01	1
q-010	chunk-009-02	1
q-010	chunk-009-03	1
q-010	chunk-009-04	1
q-010	chunk-009-05	1
q-010	chunk-009-06	1
q-010	chunk-009-07	1
q-010	chunk-009-08	1
q-010	chunk-009-09	1
q-010	chunk-009-10	1
q-010	chunk-009-11	1
q-010	chunk-009-12	1
q-010	chunk-009-13	1
q-010	chunk-009-14	1
q-010	chunk-009-15	1
q-010	chunk-009-16	1
q-010	chunk-009-17	1
q-010	chunk-009-18	1
q-010	chunk-009-19	1
q-011	chunk-010-00	1
q-011	chunk-010-01	1
q-011	chunk-010-02	1
q-011	chunk-010-03	1
q-011	chunk-010-04	1
q-011	chunk-010-05	1
q-011	chunk-010-06	1
q-011	chunk-010-07	1
q-011	chunk-010-08	1
q-011	chunk-010-09	1
q-011	chunk-010-10	1
q-011	chunk-010-11	1
q-011	chunk-010-12	1
q-011	chunk-010-13	1
q-011	chunk-010-14	1
q-011	chunk-010-15	1
q-011	chunk-010-16	1
q-011	chunk-010-17	1
q-011	chunk-010-18	1
q-011	chunk-010-19	1
q-012	chunk-011-00	1
q-012	chunk-011-01	1
q-012	chunk-011-02	1
q-012	chunk-011-03	1
q-012	chunk-011-04	1
q-012	chunk-011-05	1
q-012	chunk-011-06	1
q-012	chunk-011-07	1
q-012	chunk-011-08	1
q-012	chunk-011-09	1
q-012	chunk-011-10	1
q-012	chunk-011-11	1
q-012	chunk-011-12	1
q-012	chunk-011-13	1
q-012	chunk-011-14	1
q-012	chunk-011-15	1
q-012	chunk-011-16	1
q-012	chunk-011-17	1
q-012	chunk-011-18	1
q-012	chunk-011-19	1
q-013	chunk-012-00	1
q-013	chunk-012-01	1
q-013	chunk-012-02	1
q-013	chunk-012-03	1
q-013	chunk-012-04	1
q-013	chunk-012-05	1
q-013	chunk-012-06	1
q-013	chunk-012-07	1
q-013	chunk-012-08	1
q-013	chunk-012-09	1
q-013	chunk-012-10	1
q-013	chunk-012-11	1
q-013	chunk-012-12	1
q-013	chunk-012-13	1
q-013	chunk-012-14	1
q-013	chunk-012-15	1
q-013	chunk-012-16	1
q-013	chunk-012-17	1
q-013	chunk-012-18	1
q-013	chunk-012-19	1
q-014	chunk-013-00	1
q-014	chunk-013-01	1
q-014	chunk-013-02	1
q-014	chunk-013-03	1
q-014	chunk-013-04	1
q-014	chunk-013-05	1
q-014	chunk-013-06	1
q-014	chunk-013-07	1
q-014	chunk-013-08	1
q-014	chunk-013-09	1
q-014	chunk-013-10	1
q-014	chunk-013-11	1
q-014	chunk-013-12	1
q-014	chunk-013-13	1
q-014	chunk-013-14	1
q-014	chunk-013-15	1
q-014	chunk-013-16	1
q-014	chunk-013-17	1
q-014	chunk-013-18	1
q-014	chunk-013-19	1
q-015	chunk-014-00	1
q-015	chunk-014-01	1
q-015	chunk-014-02	1
q-015	chunk-014-03	1
q-015	chunk-014-04	1
q-015	chunk-014-05	1
q-015	chunk-014-06	1
q-015	chunk-014-07	1
q-015	chunk-014-08	1
q-015	chunk-014-09	1
q-015	chunk-014-10	1
q-015	chunk-014-11	1
q-015	chunk-014-12	1
q-015	chunk-014-13	1
q-015	chunk-014-14	1
q-015	chunk-014-15	1
q-015	chunk-014-16	1
q-015	chunk-014-17	1
q-015	chunk-014-18	1
q-015	chunk-014-19	1
q-016	chunk-015-00	1
q-016	chunk-015-01	1
q-016	chunk-015-02	1
q-016	chunk-015-03	1
q-016	chunk-015-04	1
q-016	chunk-015-05	1
q-016	chunk-015-06	1
q-016	chunk-015-07	1
q-016	chunk-015-08	1
q-016	chunk-015-09	1
q-016	chunk-015-10	1
q-016	chunk-015-11	1
q-016	chunk-015-12	1
q-016	chunk-015-13	1
q-016	chunk-015-14	1
q-016	chunk-015-15	1
q-016	chunk-015-16	1
q-016	chunk-015-17	1
q-016	chunk-015-18	1
q-016	chunk-015-19	1
q-017	chunk-016-00	1
q-017	chunk-016-01	1
q-017	chunk-016-02	1
q-017	chunk-016-03	1
q-017	chunk-016-04	1
q-017	chunk-016-05	1
q-017	chunk-016-06	1
q-017	chunk-016-07	1
q-017	chunk-016-08	1
q-017	chunk-016-09	1
q-017	chunk-016-10	1
q-017	chunk-016-11	1
q-017	chunk-016-12	1
q-017	chunk-016-13	1
q-017	chunk-016-14	1
q-017	chunk-016-15	1
q-017	chunk-016-16	1
q-017	chunk-016-17	1
q-017	chunk-016-18	1
q-017	chunk-016-19	1
q-018	chunk-017-00	1
q-018	chunk-017-01	1
q-018	chunk-017-02	1
q-018	chunk-017-03	1
q-018	chunk-017-04	1
q-018	chunk-017-05	1
q-018	chunk-017-06	1
q-018	chunk-017-07	1
q-018	chunk-017-08	1
q-018	chunk-017-09	1
q-018	chunk-017-10	1
q-018	chunk-017-11	1
q-018	chunk-017-12	1
q-018	chunk-017-13	1
q-018	chunk-017-14	1
q-018	chunk-017-15	1
q-018	chunk-017-16	1
q-018	chunk-017-17	1
q-018	chunk-017-18	1
q-018	chunk-017-19	1
q-019	chunk-018-00	1
q-019	chunk-018-01	1
q-019	chunk-018-02	1
q-019	chunk-018-03	1
q-019	chunk-018-04	1
q-019	chunk-018-05	1
q-019	chunk-018-06	1
q-019	chunk-018-07	1
q-019	chunk-018-08	1
q-019	chunk-018-09	1
q-019	chunk-018-10	1
q-019	chunk-018-11	1
q-019	chunk-018-12	1
q-019	chunk-018-13	1
q-019	chunk-018-14	1
q-019	chunk-018-15	1
q-019	chunk-018-16	1
q-019	chunk-018-17	1
q-019	chunk-018-18	1
q-019	chunk-018-19	1
q-020	chunk-019-00	1
q-020	chunk-019-01	1
q-020	chunk-019-02	1
q-020	chunk-019-03	1
q-020	chunk-019-04	1
q-020	chunk-019-05	1
q-020	chunk-019-06	1
q-020	chunk-019-07	1
q-020	chunk-019-08	1
q-020	chunk-019-09	1
q-020	chunk-019-10	1
q-020	chunk-019-11	1
q-020	chunk-019-12	1
q-020	chunk-019-13	1
q-020	chunk-019-14	1
q-020	chunk-019-15	1
q-020	chunk-019-16	1
q-020	chunk-019-17	1
q-020	chunk-019-18	1
q-020	chunk-019-19	1
q-021	chunk-020-00	1
q-021	chunk-020-01	1
q-021	chunk-020-02	1
q-021	chunk-020-03	1
q-021	chunk-020-04	1
q-021	chunk-020-05	1
q-021	chunk-020-06	1
q-021	chunk-020-07	1
q-021	chunk-020-08	1
q-021	chunk-020-09	1
q-021	chunk-020-10	1
q-021	chunk-020-11	1
q-021	chunk-020-12	1
q-021	chunk-020-13	1
q-021	chunk-020-14	1
q-021	chunk-020-15	1
q-021	chunk-020-16	1
q-021	chunk-020-17	1
q-021	chunk-020-18	1
q-021	chunk-020-19	1
q-022	chunk-021-00	1
q-022	chunk-021-01	1
q-022	chunk-021-02	1
q-022	chunk-021-03	1
q-022	chunk-021-04	1
q-022	chunk-021-05	1
q-022	chunk-021-06	1
q-022	chunk-021-07	1
q-022	chunk-021-08	1
q-022	chunk-021-09	1
q-022	chunk-021-10	1
q-022	chunk-021-11	1
q-022	chunk-021-12	1
q-022	chunk-021-13	1
q-022	chunk-021-14	1
q-022	chunk-021-15	1
q-022	chunk-021-16	1
q-022	chunk-021-17	1
q-022	chunk-021-18	1
q-022	chunk-021-19	1
q-023	chunk-022-00	1
q-023	chunk-022-01	1
q-023	chunk-022-02	1
q-023	chunk-022-03	1
q-023	chunk-022-04	1
q-023	chunk-022-05	1
q-023	chunk-022-06	1
q-023	chunk-022-07	1
q-023	chunk-022-08	1
q-023	chunk-022-09	1
q-023	chunk-022-10	1
q-023	chunk-022-11	1
q-023	chunk-022-12	1
q-023	chunk-022-13	1
q-023	chunk-022-14	1
q-023	chunk-022-15	1
q-023	chunk-022-16	1
q-023	chunk-022-17	1
q-023	chunk-022-18	1
q-023	chunk-022-19	1
q-024	chunk-023-00	1
q-024	chunk-023-01	1
q-024	chunk-023-02	1
q-024	chunk-023-03	1
q-024	chunk-023-04	1
q-024	chunk-023-05	1
q-024	chunk-023-06	1
q-024	chunk-023-07	1
q-024	chunk-023-08	1
q-024	chunk-023-09	1
q-024	chunk-023-10	1
q-024	chunk-023-11	1
q-024	chunk-023-12	1
q-024	chunk-023-13	1
q-024	chunk-023-14	1
q-024	chunk-023-15	1
q-024	chunk-023-16	1
q-024	chunk-023-17	1
q-024	chunk-023-18	1
q-024	chunk-023-19	1
q-025	chunk-024-00	1
q-025	chunk-024-01	1
q-025	chunk-024-02	1
q-025	chunk-024-03	1
q-025	chunk-024-04	1
q-025	chunk-024-05	1
q-025	chunk-024-06	1
q-025	chunk-024-07	1
q-025	chunk-024-08	1
q-025	chunk-024-09	1
q-025	chunk-024-10	1
q-025	chunk-024-11	1
q-025	chunk-024-12	1
q-025	chunk-024-13	1
q-025	chunk-024-14	1
q-025	chunk-024-15	1
q-025	chunk-024-16	1
q-025	chunk-024-17	1
q-025	chunk-024-18	1
q-025	chunk-024-19	1
q-026	chunk-025-00	1
q-026	chunk-025-01	1
q-026	chunk-025-02	1
q-026	chunk-025-03	1
q-026	chunk-025-04	1
q-026	chunk-025-05	1
q-026	chunk-025-06	1
q-026	chunk-025-07	1
q-026	chunk-025-08	1
q-026	chunk-025-09	1
q-026	chunk-025-10	1
q-026	chunk-025-11	1
q-026	chunk-025-12	1
q-026	chunk-025-13	1
q-026	chunk-025-14	1
q-026	chunk-025-15	1
q-026	chunk-025-16	1
q-026	chunk-025-17	1
