test_id,run_number,database,engine,index,target_recall,actual_recall,comparison_recall,recall_tolerance,target_met,calibration_selection,calibration_recall,average_ms,p50_ms,p95_ms,p99_ms,qps,filtered_queries,filtered_recall,filtered_average_ms,filtered_p50_ms,filtered_p95_ms,filtered_p99_ms,unfiltered_queries,unfiltered_recall,unfiltered_average_ms,unfiltered_p50_ms,unfiltered_p95_ms,unfiltered_p99_ms,cpu_average_percent,cpu_max_percent,ram_average_bytes,ram_max_bytes,disk_write_bytes,index_size_bytes,time_to_index_ready_ms,upsert_ms,vector_count,query_executions,concurrency,top_k,warmup_iterations,measurement_iterations,stability_verified,stability_diagnostics,index_parameters,search_parameters,environment,measured_at
"T01",1,"pgvector","PostgreSQL","hnsw",0.900000,0.899500,0.891111,0.010000,true,"WITHIN_TOLERANCE",0.903333,4.648316,3.840500,7.769000,18.767500,2137.406,100,0.975000,4.317945,3.848000,5.635600,18.185600,900,0.891111,4.685023,3.839700,7.887000,18.930400,4.960,4.960,180984217,180984217,0,49389568,11345,11317,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""m"":16,""dimension"":1024,""force_index_scan"":true,""ef_construction"":128}","{""ef_search"":200}","{""springBootVersion"":""4.1.1"",""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""containerLimits"":{""vector-postgres"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""physicalMemoryBytes"":51460743168,""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""javaVersion"":""21.0.11"",""queryPartition"":{""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationQueries"":200,""method"":""query-type-stratified-sha256"",""calibrationQueries"":100},""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""availableProcessors"":16,""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""dockerServerVersion"":""29.7.2""}",2026-09-11T09:48:58.235088Z
"T02",1,"pgvector","PostgreSQL","hnsw",0.950000,0.957000,0.952222,0.010000,true,"WITHIN_TOLERANCE",0.950000,10.280201,6.348700,47.381900,52.000500,970.944,100,1.000000,9.418139,6.482200,42.861500,47.400600,900,0.952222,10.375985,6.336300,47.413900,52.145200,55.240,109.050,185440665,186646528,800000,49389568,11345,11317,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""m"":16,""dimension"":1024,""force_index_scan"":true,""ef_construction"":128}","{""ef_search"":800}","{""springBootVersion"":""4.1.1"",""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""containerLimits"":{""vector-postgres"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""physicalMemoryBytes"":51460743168,""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""javaVersion"":""21.0.11"",""queryPartition"":{""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationQueries"":200,""method"":""query-type-stratified-sha256"",""calibrationQueries"":100},""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""availableProcessors"":16,""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""dockerServerVersion"":""29.7.2""}",2026-09-11T09:49:04.239279900Z
"T03",1,"pgvector","PostgreSQL","ivfflat",0.900000,0.936000,0.935000,0.010000,false,"WITHIN_TOLERANCE",0.903333,8.434252,5.712600,39.072600,42.680100,1178.997,100,0.945000,9.290382,6.118200,37.518900,42.063100,900,0.935000,8.339126,5.666700,39.142100,42.680100,0.210,0.210,225338982,225338982,2000000,82010112,3427,2945,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""force_index_scan"":true,""dimension"":1024,""lists"":10}","{""probes"":2}","{""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-postgres"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100,""method"":""query-type-stratified-sha256"",""evaluationQueries"":200}}",2026-09-11T09:49:33.116503Z
"T04",1,"pgvector","PostgreSQL","ivfflat",0.950000,0.976000,0.973333,0.010000,false,"WITHIN_TOLERANCE",0.952222,12.355821,7.359500,49.992300,54.368100,806.000,100,1.000000,16.517784,7.583100,52.511300,56.237000,900,0.973333,11.893381,7.336200,49.786400,54.329000,72.120,144.220,225705983,225758412,0,82010112,3427,2945,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""force_index_scan"":true,""dimension"":1024,""lists"":10}","{""probes"":3}","{""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-postgres"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100,""method"":""query-type-stratified-sha256"",""evaluationQueries"":200}}",2026-09-11T09:49:38.123072500Z
"T05",1,"qdrant","Native","hnsw",0.900000,0.891000,0.893889,0.010000,true,"WITHIN_TOLERANCE",0.900000,2.892142,2.684200,4.432300,7.038000,3424.591,100,0.865000,2.980893,2.806300,4.255500,6.861200,900,0.893889,2.882281,2.669200,4.432300,7.060200,0.130,0.130,117755084,117755084,0,-1,10166,3735,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""dimension"":1024,""indexing_threshold_kb"":10,""full_scan_threshold_kb"":10,""ef_construct"":128,""m"":16,""payload_index_fields"":{""tenant"":""keyword"",""category"":""keyword"",""language"":""keyword"",""tenant_id"":""keyword"",""benchmark_selectivity_01"":""keyword"",""benchmark_selectivity_50"":""keyword"",""benchmark_selectivity_10"":""keyword"",""status"":""keyword"",""access_level"":""keyword""}}","{""hnsw_ef"":10}","{""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""method"":""query-type-stratified-sha256"",""evaluationQueries"":200,""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100},""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-qdrant"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18""}",2026-09-11T09:50:08.575257Z
"T06",1,"qdrant","Native","hnsw",0.950000,0.973000,0.970000,0.010000,false,"CLOSEST_AVAILABLE",0.967778,3.242677,3.039500,5.086400,6.889000,3058.360,100,1.000000,3.407659,3.069900,5.423000,8.274600,900,0.970000,3.224346,3.035400,5.063600,6.343300,0.050,0.050,119118233,119118233,0,-1,10166,3735,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""metric"":""COSINE"",""dimension"":1024,""indexing_threshold_kb"":10,""full_scan_threshold_kb"":10,""ef_construct"":128,""m"":16,""payload_index_fields"":{""tenant"":""keyword"",""category"":""keyword"",""language"":""keyword"",""tenant_id"":""keyword"",""benchmark_selectivity_01"":""keyword"",""benchmark_selectivity_50"":""keyword"",""benchmark_selectivity_10"":""keyword"",""status"":""keyword"",""access_level"":""keyword""}}","{""hnsw_ef"":20}","{""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""method"":""query-type-stratified-sha256"",""evaluationQueries"":200,""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100},""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-qdrant"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""cpuCores"":4.0,""memoryBytes"":8589934592},""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18""}",2026-09-11T09:50:12.590495200Z
"T09",1,"weaviate","Native","hfresh",0.900000,0.964500,0.960556,0.010000,false,"CLOSEST_AVAILABLE",0.955556,19.008611,18.321000,33.338700,41.261400,523.999,100,1.000000,21.937850,20.619900,36.850400,41.767000,900,0.960556,18.683140,17.810500,32.654400,40.710900,192.350,384.470,120638668,120795955,0,-1,69133,8623,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""dimension"":1024,""rqBits"":1,""distance"":""cosine"",""replicas"":4,""maxPostingSizeKB"":48}","{""searchProbe"":8}","{""containerLimits"":{""vector-weaviate"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""physicalMemoryBytes"":51460743168,""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""javaVersion"":""21.0.11"",""queryPartition"":{""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationQueries"":200,""method"":""query-type-stratified-sha256"",""calibrationQueries"":100,""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25""},""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""availableProcessors"":16,""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""springBootVersion"":""4.1.1"",""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""memoryBytes"":8589934592,""cpuCores"":4.0}}",2026-09-11T09:52:05.217286400Z
"T10",1,"weaviate","Native","hfresh",0.950000,0.964500,0.960556,0.010000,false,"WITHIN_TOLERANCE",0.955556,20.621922,19.492500,36.718100,46.953600,483.537,100,1.000000,23.115695,22.100600,37.463000,47.852200,900,0.960556,20.344837,19.281600,36.401500,46.857200,128.123,383.770,112512204,120900812,0,-1,69133,8623,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""dimension"":1024,""rqBits"":1,""distance"":""cosine"",""replicas"":4,""maxPostingSizeKB"":48}","{""searchProbe"":8}","{""containerLimits"":{""vector-weaviate"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""physicalMemoryBytes"":51460743168,""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9"",""javaVersion"":""21.0.11"",""queryPartition"":{""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508"",""evaluationQueries"":200,""method"":""query-type-stratified-sha256"",""calibrationQueries"":100,""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25""},""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""availableProcessors"":16,""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""springBootVersion"":""4.1.1"",""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""memoryBytes"":8589934592,""cpuCores"":4.0}}",2026-09-11T09:52:11.632738Z
"T07",1,"weaviate","Native","hnsw",0.900000,0.876000,0.862222,0.010000,false,"WITHIN_TOLERANCE",0.891111,14.484108,13.329600,26.105500,32.391900,688.526,100,1.000000,16.854949,16.660100,28.560100,32.266600,900,0.862222,14.220682,13.024000,26.024100,32.391900,109.385,218.580,199858585,199858585,0,-1,67336,8437,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""dimension"":1024,""distance"":""cosine"",""efConstruction"":128,""maxConnections"":16}","{""ef"":120}","{""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-weaviate"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""memoryBytes"":8589934592,""cpuCores"":4.0},""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100,""method"":""query-type-stratified-sha256"",""evaluationQueries"":200,""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508""},""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9""}",2026-09-11T09:53:56.751775500Z
"T08",1,"weaviate","Native","hnsw",0.950000,0.943000,0.936667,0.010000,false,"WITHIN_TOLERANCE",0.940000,19.052739,16.467700,39.115000,62.414800,523.032,100,1.000000,19.608848,15.894000,41.499500,51.145700,900,0.936667,18.990949,16.531200,38.769200,62.414800,194.340,388.500,197184716,197237145,0,-1,67336,8437,10000,1000,10,10,1,5,true,"{""required"":false,""verified"":true,""driftThreshold"":0.0,""calibrationRecall"":null,""serialRecallSamples"":[],""concurrentRecallSamples"":[],""stateBefore"":{},""stateAfter"":{},""reason"":""Adapter has no mandatory drift audit""}","{""dimension"":1024,""distance"":""cosine"",""efConstruction"":128,""maxConnections"":16}","{""ef"":400}","{""physicalMemoryBytes"":51460743168,""sourceOfTruth"":{""datasetSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""documentCount"":200,""chunkCount"":10000,""synchronizedNow"":false},""containerLimits"":{""vector-weaviate"":""cpuNano=4000000000,memoryBytes=8589934592,memorySwapBytes=8589934592""},""cpu"":""AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD"",""metric"":""COSINE"",""declaredVectorDbBudget"":{""memoryBytes"":8589934592,""cpuCores"":4.0},""springBootVersion"":""4.1.1"",""dockerServerVersion"":""29.7.2"",""queryDefinitionsSha256"":""e9e52e8cd2ce129bb91205fa1a08f2baf2d4ca8bd28fe9c42299eefdb99ada18"",""availableProcessors"":16,""os"":""Windows 11 10.0 amd64"",""documentVectorsSha256"":""cc23f095b88585453940e8fca998f8b16f9573361b0c83f021d7bb095ba9e4c6"",""queryPartition"":{""evaluationIdsSha256"":""f856701d0c4b142b59ef1f22919e1e8f1c897145a9bdf88e6b18a59196a6ca25"",""calibrationQueries"":100,""method"":""query-type-stratified-sha256"",""evaluationQueries"":200,""calibrationIdsSha256"":""8b3e0cf00bea0503372f6e0e968ec87a831d597ac5132d0e7ae30ade95164508""},""javaVersion"":""21.0.11"",""queryVectorsSha256"":""d06cc81c1169e1a926fc69a835fabda560932d8834bd687893fe0da301c4cfa9""}",2026-09-11T09:54:03.777321400Z
